ClaudeHiakuWeb-raw_correctness,ClaudeSonnetWeb-raw_correctness,ClaudeOpuWeb-raw_correctness,GeminiWeb-raw_correctness,GeminiAdvancedWeb-raw_correctness,gpt-3.5-turbo-0125_correctness,gpt-4-0613_correctness,GPT3.5Web_correctness,GPT4Web_correctness,llama2-13B-Q5KM_correctness,medicine-chat-Q8_correctness,llama2-7B-Q8_correctness,mistral-instruct-v2-Q8_correctness,phi3-3b-Q16_correctness,llama3-8b-Q8_correctness,Llama27B-Poe_correctness,Mixtral-8x7B-Poe_correctness,MistralLarge-Poe_correctness,Llama270B-Poe_correctness,claude-3-opus-20240229_correctness,claude-3-haiku-20240307_correctness,claude-3-sonnet-20240229_correctness,Llama3-70b-Poe_correctness,Llama3-8b-Poe_correctness,gpt-4o-2024-05-13_correctness,openbioLLM-7B-Q8_correctness,claude-3-5-sonnet-20240620_correctness,gpt-4o-mini-2024-07-18_correctness,gemma2-9b-it_correctness,Gemma2-9b-Q8_correctness,Mistral-7B-T_correctness,Llama-2-13b_correctness,Phi3-medium14b-Q6_correctness,Llama3.1-405B_correctness,Llama3.1-70B_correctness,Llama3.1-8B_correctness,gemma2-27b-it_correctness
correct,correct,correct,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,incorrect,incorrect,correct,correct,correct,correct,incorrect,correct,correct,incorrect,correct,correct,correct,incorrect,correct
correct,correct,correct,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,Incorrect,correct,NoA,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,NOP,incorrect,incorrect,incorrect,correct,correct,incorrect,incorrect
Incorrect,correct,correct,correct,correct,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect
correct,correct,correct,correct,NoA,Correct,Correct,Correct,Correct,Incorrect,correct,Incorrect,Incorrect,correct,correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,NoA,correct,correct,correct,correct,incorrect,incorrect,correct,correct,correct,correct,correct
correct,correct,correct,correct,correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,NoA,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Incorrect,Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,correct,incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,correct,correct,correct,correct
Incorrect,Incorrect,correct,correct,correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Incorrect,incorrect,incorrect,EOP,Correct,Incorrect,Incorrect,Correct,Correct,Incorrect,incorrect,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct,correct,correct,incorrect
Incorrect,correct,Incorrect,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,correct,correct,incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct
Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,correct,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,incorrect,correct,correct,incorrect,correct,correct,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,correct
